uni95E1	U+95E1	闡
uni95E2	U+95E2	闢
uni95E3	U+95E3	闣
uni95E4	U+95E4	闤
uni95E5	U+95E5	闥
uni95E6	U+95E6	闦
uni95E7	U+95E7	闧
uni95E9	U+95E9	闩
uni95EA	U+95EA	闪
uni95EB	U+95EB	闫
uni95EC	U+95EC	闬
uni95ED	U+95ED	闭
uni95EE	U+95EE	问
uni95EF	U+95EF	闯
uni95F0	U+95F0	闰
uni95F1	U+95F1	闱
uni95F2	U+95F2	闲
uni95F3	U+95F3	闳
uni95F4	U+95F4	间
uni95F5	U+95F5	闵
uni95F6	U+95F6	闶
uni95F7	U+95F7	闷
uni95F8	U+95F8	闸
uni95F9	U+95F9	闹
uni95FA	U+95FA	闺
uni95FB	U+95FB	闻
uni95FC	U+95FC	闼
uni95FD	U+95FD	闽
uni95FE	U+95FE	闾
uni95FF	U+95FF	闿
uni9600	U+9600	阀
uni9601	U+9601	阁
uni9602	U+9602	阂
uni9603	U+9603	阃
uni9604	U+9604	阄
uni9605	U+9605	阅
uni9606	U+9606	阆
uni9607	U+9607	阇
uni9608	U+9608	阈
uni9609	U+9609	阉
uni960A	U+960A	阊
uni960B	U+960B	阋
uni960C	U+960C	阌
uni960D	U+960D	阍
uni960E	U+960E	阎
uni960F	U+960F	阏
uni9610	U+9610	阐
uni9611	U+9611	阑
uni9612	U+9612	阒
uni9613	U+9613	阓
uni9614	U+9614	阔
uni9615	U+9615	阕
uni9616	U+9616	阖
uni9617	U+9617	阗
uni9618	U+9618	阘
uni9619	U+9619	阙
uni961A	U+961A	阚
uni961B	U+961B	阛
uni961E	U+961E	阞
uni961F	U+961F	队
uni9620	U+9620	阠
uni9621	U+9621	阡
uni9622	U+9622	阢
uni9623	U+9623	阣
uni9624	U+9624	阤
uni9625	U+9625	阥
uni9626	U+9626	阦
uni9627	U+9627	阧
uni9628	U+9628	阨
uni9629	U+9629	阩
uni962A	U+962A	阪
uni962B	U+962B	阫
uni962C	U+962C	阬
uni962D	U+962D	阭
uni962E	U+962E	阮
uni962F	U+962F	阯
uni9630	U+9630	阰
uni9631	U+9631	阱
uni9632	U+9632	防
uni9633	U+9633	阳
uni9634	U+9634	阴
uni9635	U+9635	阵
uni9636	U+9636	阶
uni9637	U+9637	阷
uni9638	U+9638	阸
uni9639	U+9639	阹
uni963A	U+963A	阺
uni963B	U+963B	阻
uni963C	U+963C	阼
uni963D	U+963D	阽
uni963E	U+963E	阾
uni963F	U+963F	阿
uni9640	U+9640	陀
uni9641	U+9641	陁
uni9642	U+9642	陂
uni9643	U+9643	陃
uni9644	U+9644	附
uni9645	U+9645	际
uni9646	U+9646	陆
uni9647	U+9647	陇
uni9648	U+9648	陈
uni9649	U+9649	陉
uni964A	U+964A	陊
uni964B	U+964B	陋
uni964C	U+964C	陌
uni964D	U+964D	降
uni964E	U+964E	陎
uni964F	U+964F	陏
uni9650	U+9650	限
uni9651	U+9651	陑
uni9652	U+9652	陒
uni9653	U+9653	陓
uni9654	U+9654	陔
uni9655	U+9655	陕
uni9656	U+9656	陖
uni9657	U+9657	陗
uni9658	U+9658	陘
uni9659	U+9659	陙
uni965A	U+965A	陚
uni965B	U+965B	陛
uni965C	U+965C	陜
uni965D	U+965D	陝
uni965E	U+965E	陞
uni965F	U+965F	陟
uni9660	U+9660	陠
uni9661	U+9661	陡
uni9662	U+9662	院
uni9663	U+9663	陣
uni9664	U+9664	除
uni9665	U+9665	陥
uni9666	U+9666	陦
uni9667	U+9667	陧
uni9668	U+9668	陨
uni9669	U+9669	险
uni966A	U+966A	陪
uni966B	U+966B	陫
uni966C	U+966C	陬
uni966D	U+966D	陭
uni966E	U+966E	陮
uni966F	U+966F	陯
uni9670	U+9670	陰
